isin,requested_exchCode,figi,name,ticker,exchCode,compositeFIGI,shareClassFIGI,securityType,securityType2,marketSector,securityDescription,warning,yahoo_ticker
INE237A01028,IN,,,,,,,,,,,No identifier found.,
INE806T01012,IN,,,,,,,,,,,No identifier found.,
INE0DK501011,IN,BBG00XC7SWL4,PIRAMAL PHARMA LTD,PIRPHARM,IN,BBG00XC7SWL4,BBG00XC7SWM3,Common Stock,Common Stock,Equity,PIRPHARM,,PIRPHARM.NS
INE854D01024,IN,BBG000KGJM66,UNITED SPIRITS LTD,UNITDSPR,IN,BBG000KGJM66,BBG001SGKCN7,Common Stock,Common Stock,Equity,UNITDSPR,,UNITDSPR.NS
INE081A01020,IN,BBG000D0ZDF1,TATA STEEL LTD,TATA,IN,BBG000D0ZDF1,BBG001S84X48,Common Stock,Common Stock,Equity,TATA,,TATA.NS
INE112L01020,IN,BBG000J1SBY4,METROPOLIS HEALTHCARE LTD,METROHL,IN,BBG000J1SBY4,BBG001SPC7C9,Common Stock,Common Stock,Equity,METROHL,,METROHL.NS
INE536H01010,IN,BBG000NZY5R8,CIE AUTOMOTIVE INDIA LTD,CIEINDIA,IN,BBG000NZY5R8,BBG001SQTDF3,Common Stock,Common Stock,Equity,CIEINDIA,,CIEINDIA.NS
INE600L01024,IN,BBG000NBPF62,DR LAL PATHLABS LTD,DLPL,IN,BBG000NBPF62,BBG001SKQ2J9,Common Stock,Common Stock,Equity,DLPL,,DLPL.NS
INE872J01023,IN,BBG001BMYWS8,DEVYANI INTERNATIONAL LTD,DEVYANI,IN,BBG001BMYWS8,BBG001TQHGS4,Common Stock,Common Stock,Equity,DEVYANI,,DEVYANI.NS
INE136B01020,IN,BBG000BV0G48,CYIENT LTD,CYL,IN,BBG000BV0G48,BBG001S8T258,Common Stock,Common Stock,Equity,CYL,,CYL.NS
INE836A01035,IN,BBG000BGRK07,BIRLASOFT LTD,BSOFT,IN,BBG000BGRK07,BBG001S7DR61,Common Stock,Common Stock,Equity,BSOFT,,BSOFT.NS
INE066A01021,IN,BBG000CQTR98,EICHER MOTORS LTD,EIM,IN,BBG000CQTR98,BBG001S837D6,Common Stock,Common Stock,Equity,EIM,,EIM.NS
INE716A01013,IN,BBG000CV3WR4,WHIRLPOOL OF INDIA LTD,WHIRL,IN,BBG000CV3WR4,BBG001S83V89,Common Stock,Common Stock,Equity,WHIRL,,WHIRL.NS
INE07T201019,IN,BBG00QRXTY13,RESTAURANT BRANDS ASIA LTD,RBA,IN,BBG00QRXTY13,BBG00QRXTY22,Common Stock,Common Stock,Equity,RBA,,RBA.NS
